,CONTENT
36,Olá Antonio! Pior que não sei indicar não :(
37,vc pode me recomendar bons foruns para tirar dúvidas sobre computer vision?
38,Oi jones
39,De nada
40,Obrigado :)
41,Congrats on your work anniversary! 👏👏
42,hahaha
43,Obrigado 👍 (Aham hahahaha)
44,Aham
45,Parece bom. Vou verificar. Esta no site iaexpet ?
46,O passo a passos dos cursos para seguir
47,🙏 Muito obrigado por aceitar meu convite. Agora vou aprender mais ainda com sua parceria 👍. O que são trilhas no site ?
48,Legal Claudinei! Bem-vindo  e qualquer coisa é só mandar mensagem :) Já chegou a ver as trilhas no site?
49,"Sou um dos seus milhares de alunos. Parabéns pelos cursos disponibilizados na Udemy e no IA Expert no youtube ! Adquiri quase todos os seus cursos com python e Tensorflow. Meu foco atualmente é ser Data Scientist. Eu gostaria muito de participar se sua rede linkedin, para aprender mais. Obrigado"
50,Obrigado :)
51,Parabéns pelo seu aniversário de empresa Jones!!
52,Olá Aline! Obrigado pelas boas-vindas :)
53,Ola Jones! Bem-vindo a minha rede! 
54,Obrigado :)
55,Parabéns pelo seu aniversário de empresa! Abs. 
56,Thanks :)
57,Congrats on your work anniversary!
58,"Legal João, espero que aproveite :)"
59,"E aí, Jones! Tudo certo? Sou um novo aluno do portal IAExpert e estou começando meu primeiro curso! "
60,👍
61,Valeu :)
62,"Parabéns Jones, pelos 2 anos de DA!"
63,"Legal, aí pro litoral tem bem mais vagas né?"
64,As empresas que ando vendo as vagas são Floripa e Joinville
65,"agora to em BC novamente, mas estava em Criciuma na Betha Sistemas, ai estou home office, mas alocado na filial de Palhoça"
66,E aí Leonardo! Está em qual cidade? Veja as trilhas aqui: https://iaexpert.academy/trilhas/
67,"Tava olhando os requisitos das vagas, e tu aborda em vários cursos que vi na Udemy"
68,"Fala professor, devo virar teu aluno de novo em breve kkkkkk, comecei a estudar um pouco de python, tô vendo muita vaga pra cientista de dados aqui pela região"
69,😀
70,Parabéns pelo seu aniversário de empresa!
71,Valeu! :)
72,Parabéns pelo seu aniversário na UNC! Sucesso!
73,:)
74,"Valeu, Hamilton"
75,"Com certeza. Eu conheci sua voz assim que começou o vídeo (desculpe, mas não lembrava o nome) do seu curso na Udemy que estou quase terminando (Formação Cientista de Dados com Python e R), mas que pretendo refazer para consolidar os conceitos. Valeu!"
76,Olá Hamilton! Espero que goste dos vídeos :)
77,Acabei de achar os seus vídeos no Youtube.
78,"Hi Jones,  I founded Teachinguide.com to help Udemy Instructors like you with detailed insights and tools. Would love to connect with you.  Best Tom "
79,Olá Murilo! Envie mais detalhes para o e-mail contato@iaexpert.academy
80,"Olá Jones, tudo bem? Eu comecei um projeto chamado Elo Science, e nesse projeto já tive a oportunidade de entrevistar umas pessoas sobre tecnologia e tenho buscado trazer cada vez mais pessoas para falar sobre a área de tecnologia e dados. Gostaria de saber se você teria essa disponibilidade de gravar uma conversa para o YouTube? Abraços"
81,👍
82,Que bom que está gostando Fernando :)
83,"Oi Jones, Gosto muito de seus cursos tanto que já devo ter comprado quase todos via Udemy rs, parabêns pelo ótimo conteudo!!!"
84,AULA AO VIVO NO INSTAGRAM ÀS QUARTAS-FEIRAS ÀS 19H!!!  --- @josuepereira1095 ---   VENHA EVOLUIR O TEU ENGLISH!!!
85,"Hi there,  Passando para lhe apresentar novamente um método EFICAZ e EXCLUSIVO em que, aprenderá no teu ritmo do teu computador, celular ou tablet.  Comece agora, seja qual for o teu nível.  Também, lhe convido a participar da minha LIVE, as quartas-feiras, às 19h no INSTAGRAM, com a duração de APENAS 20 minutos.  --- @josuepereira1095 ---   CONTEÚDO: Resumo GERAL do INGLÊS Básico ao Avançado.   Ficarei muito grato em vê-lo lá, Okay?  Concluindo, por onde quer que eu comece acerca das aulas, pelos valores ou metodologia?"
86,"Hey, Teacher Josué Pereira!!!   Estude INGLÊS online e ao vivo comigo (o teu TEACHER) com aulas personalizadas.   FOCO: Fala e compreensão auditiva.   BÔNUS: MATERIAL em que lhe adquirá vocabulários para desenvolver a tua conversão.   Gostaria de lhe convidar para a minha LIVE, todas as quartas-feiras às 19h no INSTAGRAM e com a DURAÇÃO DE 20 MINUTOS.  --- @josuepereira1095 ---   CONTEÚDO: Resumo GERAL do INGLÊS Básico ao Avançado.   Ah, ficarei EXTREMAMENTE honrado em lhe ver lá, Okay?   Em suma, por onde você quer que eu comece, pelos valores das aulas ou pela nossa metodologia?"
87,Agradeço o seu compartilhamento de conteúdo
88,Que bom que está gostando Nikolas 😀
89,Boa tarde. Sou assinante do IA Expert e esotu admirando muito o seu contéudo. Parabéns
90,"Valeu, Jones"
91,Valeu pelo contato Jonathas :)
92,"Olá Professor Jones Granatyr! Meu nome é Jonathas, sou médico veterinário e seu aluno de Redes Neurais e Deep Learning na IA Expert Academy. Tenho aprendido muito em suas brilhantes aulas, quero trabalhar nesse campo do saber e no que eu puder ser útil fico ao seu dispor! Abraço e tudo de bom!"
93,"Olá %FIRSTNAME%,   A Zendesk está ajudando empresas como Nubank, Magazine Luiza e Loggi a escalarem suas operações de atendimento sempre com o foco no cliente. Nossas soluções unificam toda comunicação com o usuário em uma plataforma, seja ela por chat, e-mail, WhatsApp ou telefone, garantindo rapidez no tempo de resposta e maior produtividade da sua equipe.    Você gostaria de descobrir como a Zendesk pode ajudar a %COMPANYNAME% a atender seus clientes de maneira mais rápida e eficiente? "
94,Enviado Jones. Agradeço a atenção.
95,Olá Armindo! Manda para o e-mail contato@iaexpert.academy
96,"Seria mais ou menos esse o roteiro, Agradeço se puder ajudar"
97,A atividade é uma entrevista com alguém que desempenha a atividade de cientista de dados ou similar
98,Jones boa tarde. Sou assinante da IA expert e se possível gostaria de uma colaboração sua  uma atividade que preciso fazer para a faculdade.
99,OK
100,"Olá Jason! Poste a dúvida no fórum do curso, que fica mais fácil pra responder"
101,"Ou seja, dados não faltam "
102,"O TSE disponibiliza milhares de dados sobre campanhas desde 1945, se não me engano "
103,"Usando o que foi ensinado nesse módulo eu consigo criar um sistema capaz de prever se alguém pode ser eleito vereador, por exemplo?"
104,Terminei agora o módulo “Departamento de recursos humanos”
105,Estou fazendo o curso Ciência de Dados para Empresas e Negócios 
106,Sua didática é ótima. Parabéns mesmo!
107,Eu que sou iniciante no mundo da IA estou achando o máximo 
108,"Professor, primeiramente eu gostaria de parabenizar pelo conteúdo da IA expert "
109,Olá Jason! Respondi lá no insta
110,"Boa tarde, Jones.  Quero aprender sobre IA, Machine Learning, Deep Learning, Redes Neurais, etc.   Mas eu não sei nem programar, ainda.  A IA expert serve pra mim? Recebi e-mail de vocês sobre a promo de black friday."
111,Sure will do that shortly.
112,"Hi Shrey,  Can you send me more details to contato@iaexpert.academy?  Jones"
113,Hi Jones  I hope you're in the pinkest of your health. I saw your interest in developing an online course with Udemy in the field of Artificial Intelligence.  I would like to discuss with you a similar yet intriguing yet paid opportunity for mentoring students through e-learning.  Thanks Shrey Tyagi
114,Legal Robson!!
115,"Conhecimento top, né cara? Inclusive no processamento de linguagem natural (ainda UDEMY)  utilizei alguns recursos para fechar minha tese de doutorado. Brigadão"
116,"Valeu Robson, que bom que está gostando :)"
117,Sou aluno no IA Expert - Excelente os cursos - Parabéns!
118,"<p class=""spinmail-quill-editor__spin-break"">Olá,&nbsp;Jones.</p><p class=""spinmail-quill-editor__spin-break""><br></p><p class=""spinmail-quill-editor__spin-break"">O LinkedIn valoriza usuários como você. Por isso, estamos oferecendo a você uma demonstração gratuita do Sales Navigator.</p><p class=""spinmail-quill-editor__spin-break""><br></p><p class=""spinmail-quill-editor__spin-break"">Com o Sales Navigator você tem acesso aos seguintes recursos adicionais:</p><p class=""spinmail-quill-editor__spin-break""><br></p><ul><li><strong>20 InMails por mês</strong>, para que você entre em contato com qualquer pessoa, mesmo que não estejam conectados</li><li><strong>Quem viu seu perfil</strong>, para visualizar todos os que visitaram seu perfil nos últimos 90 dias</li><li><strong>Pesquisas ilimitadas</strong>&nbsp;com filtros especiais, incluindo função, nível de experiência e grupos</li><li><strong>Insights práticos e notícias</strong>, com atualizações sobre suas contas e leads salvos</li><li><strong>Recomendações</strong> de leads&nbsp;para ajudar você a encontrar os potenciais clientes certos nas contas certas</li></ul><p class=""spinmail-quill-editor__spin-break"">Inicie hoje mesmo sua&nbsp;<a rel=""noopener"" href=""https://www.linkedin.com/premium/products/?displayProducts=&amp;family=sales&amp;type=premium&amp;_ed=0_bvLJH59RTSY-u5c6PMUa4JXXe2RPtkIdGjmx3tjvRJk&amp;src=li-in&amp;trk=spin_mktg_sbd_20q3_latam_PT_v1_UPM_1330&amp;mcid=6634077391323049984"" target=""_blank"">demonstração gratuita</a>&nbsp;e aproveite todo o potencial do LinkedIn, a maior rede profissional do mundo, com mais de 645 milhões de usuários.</p><p class=""spinmail-quill-editor__spin-break"">&nbsp;</p><p class=""spinmail-quill-editor__spin-break"">Atenciosamente,</p><p class=""spinmail-quill-editor__spin-break"">Jen e equipe do Sales Navigator</p>"
119,Obrigado!! 😀
120,"Olá, Jones  Por sua colaboração no projeto #quarentema37, tenho o prazer de entregar a você um exemplar totalmente gratuito do e-book Novos Produtos e Serviços na Educação 5.0 – uma pesquisa aprofundada e abrangente, realizada a partir dos recursos apresentados no projeto.  Para baixar o e-book, basta acessar http://bit.ly/dse-filatro, clicar na caixinha “Insira um cupom de desconto” e digitar o código personalizado 3CED-M2UH9U-LGPEAU.  O cupom é válido até 28/02/2021.  Mais uma vez, muito obrigada por sua parceria. Conto com sua colaboração para divulgar o livro nas redes sociais.  Grande abraço,  Andrea Filatro"
121,"Sim, claro. Essa é a ideia!"
122,Posso fazer um comentário sobre o meu trabalho lá no post que me marcou?
123,Blz Andrea! Vou ver o post lá :)
124,"Vou recomendar no Desafio #quarentema37, que é uma discussão que estou moderando aqui no Linkedin sobre Novos produtos na Educação 5.0.   Tomo a liberdade de te marcar no post de recomendação e, se você quiser contribuir com 1 ou 2 parágrafos, será uma honra contar com sua participação.  Abs, Andrea Filatro"
125,Maravilha! Muitíssimo obrigada!
126,As mensagens estão voltando quando envio para seu email Segue o link: https://drive.google.com/file/d/1zGhWy_3INoP8-PidXmr8xcYtVuexY89W/view?usp=sharing
127,Obrigada 
128,Não recebi não. O e-mail é afilatro@uol.com.br
129,"Olá! Só pra confirmar, recebeu o link com o livro que lhe passei? Que deu erro na caixa de e-mail"
130,👍
131,Olá Andrea! Consegue enviar essa dúvida para meu e-mail jones@iaexpert.com.br? Que aí encaminho para o Raul que trabalha em Portugal com esse tema :)
132,"Olá, Jones  Assisti a alguns vídeos seus em que você fala sobre sistemas de tutoria inteligente que reconhecem emoções do aprendiz e fazem adaptações de percurso ou conteúdo.  Você poderia citar alguns exemplos?  E também gostaria de saber (alguns de) seus cursos na IA Expert Academy utilizam esse recurso.  Muito obrigada, Andrea Filatro"
133,"Olá Jones! Estou fazendo seu curso de IA e Machine Learning na Udemy. Curso excelente! Atualmente, trabalho nessa área e estou desenvolvendo um código usando lógica Fuzzy, mas estou com alguns problemas. Poderia me adicionar ao seu LinkedIn para podermos conversar? Prometo não tomar muito seu tempo."
134,"Olá Jones. Obrigada pela sua amizade no LinkedIn. Sou da área de inteligência de negócios no Grupo Albieri e Associados - braço de BPO da Andersen Global no Brasil. A Albieri de maneira altamente revolucionária acaba de lançar no mercado uma solução com o objetivo de reduzir custos nesse momento tão delicado da economia. Nós construímos uma solução, full service que contemplaria 100% das necessidades da Dinosaur Answer, DA, como fiscal, contábil, financeiro, compras e RH, por um valor a partir R$ 1.200 mensais. Gostaria de saber se podemos agendar uma reunião contigo e com nossa área de negócios para lhe apresentar uma proposta. Você tem 15 minutos para falarmos a respeito essa semana? Caso prefira já receber uma proposta antes da reunião, nos avise para que já enviemos e tenhamos uma conversa apenas para esclarecimento de dúvidas. Abs. Andria Goulart"
135,"Olá Jones. Quero apresentar como a Dinosaur Answer, DA pode ter os mesmos serviços contábeis, administrativos e financeiros das maiores empresas do mundo a partir de R$ 1.200/mês. Podemos falar essa semana? "
136,"Tranquilo Jones! Valeu pela atenção.   Seus cursos eu peguei com o @Romerito Morais e eu quero muito fazer que relacione a texto. Como a faculdade não é com o que eu trabalho, fico sem tempo ou preciso me organizar melhor. O pouco que eu vi os cursos são muito bons! Obrigado!   Stopa."
137,Olá Rogério! Sobre esse assunto infelizmente não :(
138,"Fala Mestre!  Por favor, tu tem algum curso seu que use Python, reconhecimento de voz fazendo transcrição para texto? Ou algum artigo na Medium, etc?  Agradeço desde já.  Sucesso.  Stopa"
139,"Valeu, Jones"
140,Será postado nas redes sociais na semana que vem
141,Obrigado Jones. Como posso ser informado?
142,👍
143,Terá uma da assinatura na semana que vem
144,Que pena. Obrigado Jones.
145,Olá Pedro! Teve na semana passada :(
146,"Boa tarde professor Jones, tudo bem? Consulta, teremos promoções nos cursos pela Black Friday? Obrigado. "
147,Muito obrigado!
148,"Olá Pedro! Para iniciar, recomendo este curso:  https://www.udemy.com/course/machine-learning-e-data-science-com-python-y/?referralCode=A10B4748EC9B0BC74307"
149,"Boa noite Professor, tudo bem? Estou entrando em contato para pedir um direcionamento se possível. Fiz um curso na Udemy de Python e gostaria de entrar nesse mundo de Data Science. Vi varios cursos na Udemy e me chamou atenção a quantidade de cursos que voce possui :) Me indicaria algum curso para entrada? Voce acha possivel com tal curso atingir um nivel de analista Jr de Data Science? Muito obrigado!"
150,Muito obrigado 
151,Aeeeeee
152,"Olá Wendell! Tem sim, na página da assinatura tem link para geração do boleto. Segue abaixo https://iaexpert.academy/formulario-boleto/"
153,"Bom dia Jones!, existe a possibilidade de fechar o plano anual por transferencia ou boleto bancario?"
154,"Tem que esperar dar os 5 dias de teste, aí ele vai tentar debitar"
155,"Vamos ver se não estorna, tenho que caçar de quem é haha"
156,Tou com medo de ser o cartão de um familiar kkkk
157,Caiu pra você o pagamento? 
158,Pelo menos eu acho. 
159,É um cartão antigo 
160,Depois vão tentar debitar do cartão 
161,Eles disseram que liberaram por 5 dias gratuitos 
162,Na verdade não. 
163,Opa! Paypal deixa somente com cartão de crédito. Mas vi aqui que já conseguiu. Deu tudo certo?
164,PayPal não está me dando essa possibilidade 
166,Ou boleto ? 
167,Consigo fazer por transferência ? 
168,Desculpe estar enviando mensagem...  
169,Boa noite mestre! 
170,muito obrigado!
171,"Cara nunca tinha me atentado a isso! que tu tem uma assinatura, vou assinar com certeza!"
172,Tem também no www.iaexpert.com.br os cursos :)
173,Logo vou adquirir todo seu acervo la!
174,Olá Wendell! Valeu!! :)
175,Quando digo compartilhei foi o Link do perfil da Udemy rsrs 
176,"Boa noite Jones, obrigado por aceitar meu convite aqui na rede, sou pós graduando em Data Science e tenho alguns cursos teus na Udemy.  Já compartilhei com a turma toda, até os professores ficaram admirados de termos um cara do teu nível acadêmico aqui dentro do BR.  Bom final de semana ! "
177,"Valeu Alexsander, fico feliz em ter ajudado :)"
178,"Olá, Jones. Quero agradecer todos os seus cursos que está criando, estou estudando na faculdade, e estou no foco de fazer o meu TG com reconhecimento facial e rede neural. Fiquei muito feliz pelo conhecimento que adquiri. Muito obrigado"
179,"Já solicitei os bônus, obrigado pela iniciativa professor ! "
180,"Valeu, Jones"
181,Isso mesmo! Senão pega o preço da plataforma
182,"Agora entendo, só vai para esse valor quando aplica o cupom não é "
183,"Olá Boa noite, seus cursos na Udemy não estão custando 22,90 e sim 24,90"
184,Obrigado
185,"Legal, espero que goste dos cursos :)"
186,Conheci hoje seus cursos. Recebi pelo grupo de Whatsapp Ciencia de Dados - IDV3
187,"Olá Paulo! Na verdade eu não trabalho com consultoria na área, meu foco é somente em cursos :)"
188,Quem sabe no futuro tenhamos alguma parceria neste sentido
189,"Sempre penso nesta possibilidade, mas fico na dúvida sobre os reais resultados rsrs"
190,Tá gostando? Dá retorno?
191,"Jones, como está sendo a experiência com uma consultoria de AI?"
192,Legal que está gostando! Qualquer coisa é só avisar 😀
193,"Queria um focado em Machine Learning com Python. Vou aproveitar um pouco mais o que eu comprei na Udemy.  Cara, os cursos de vocês são muito bons mesmo. Principalmente, porque vocês transmitem o conhecimento com mais facilidade na didática. Vamos conversando! 😀"
194,"Olá Paulo! Que bom que gostou do curso :) Temos alguns cursos mais avançados de Deep Learning, PLN e desafios Kaggle (depende da área que pretende trabalhar)"
195,"Jones, tudo bem? Obrigado por me adicionar! Estou pegando algumas dicas no seu curso de ML da Udemy. Muito top o curso! Parabéns!! Vocês possuem algum curso para profissionais mais avançados na área de ML?"
196,"Boa tarde Sr (a). Jones, tudo bem?  Me chamo Patricia Santina e sou executivo de vendas na Dasel Corretora de Seguros. Somos especializados em Seguro Saúde, e temos conseguido ajudar empresários na redução desse custo, sem perder a qualidade ofertada, ou ainda empresários que não ofereciam esse produto.  Mostramos as possibilidades acessíveis que ajudam a aumentar a lucratividade e ambiente de suas empresas.  Queria entender se você possui ou a sua empresa IA EXPERT, IAE oferece esse benefício para seus colaboradores ou sua família, se sim, a quanto tempo?  Na maioria dos casos com 1 a 2 anos de plano, conseguimos efetuar uma boa redução deste investimento.  Estamos juntos de nossos clientes em toda vigência do plano e tenho certeza que conseguimos te ajudar a cuidar da saúde sem pesar no orçamento.  Segue em anexo uma breve apresentação da nossa empresa e espero que consiga analisar!  Desde já agradeço a atenção e deixo abaixo meus outros Contatos.  Atenciosamente Patricia Santina (21) 99844-2374"
197,Que pena. Obrigado mesmo assim.
198,👍
199,"Olá Leonam! No curso é mostrado somente em textos, e por hora não tenho material sobre voz :("
200,"Boa tarde, tudo bem?  Vi o seu curso na Udemy, NLP com Deep Learning, e achei muito interessante. Estou num projeto que envolve video subtitling. No curso é ensinado como criar um  tradutor, mas não tem um projeto para reconhecimento de voz. Você recomenda algum outro curso ou material para isso?"
201,Obrigado! Agradeço a disponibilidade. Até mais... :)
202,"Olá Felipe! Já aceitei o convite, qualquer coisa é só avisar :)"
203,"Olá, Jones. Sou aluno de alguns de seus cursos na Udemy há algum tempo. Recentemente, muito graças aos seus cursos (entre outros instrutores), tenho me interessado bastante por Ciência de Dados, Machine Learning e assuntos correlatos. Achei que poderíamos nos conectar por aqui também. Obrigado."
204,valeu
205,👍
206,Já vi lá e logo respondo :)
207,"Fala Jones, boa tarde enviei o e-mail 😉"
208,Olá Bruno! Manda mais detalhes para jones@iaexpert.com.br :)
209,"Fala Jones, vi a publicação sua ""Gatos e Cachorros com PyTorch e Redes Neurais Convolucionais"", sou CEO da AjudaPet Startup que busca o fim do sofrimento animal, gostaria de saber se teria interessem em ajudar a gnt em algumas funcionalidades. Abração"
210,"Valeu, Jones"
211,Olá Gustavo! Dê uma olhada nas trilhas que foram adicionadas no www.iaexpert.academy :)
212,"Sou seu aluno da Udemy, desejo seguir a carreira de engenheiro de aprendizado de máquina"
213,Olá Jose! Consegue enviar detalhes para o email jones@iaexpert.com.br?
214,Ola Jones. Recem ingressei no pos-doutorado de InteligenciaArtificial da UFRJ com prof Medronho (IESC) e prof Alexandre Evsukoff (COPPE). Queria bater um papo para ver se faz sentido alguma parceria. Meu whatsapp é (11) 985082920. Abraco
215,as vezes ele demora pra responder
216,Ele não respondeu o e-mail?
217,Mestre bom dia tudo bem não conseguimos contato efetivo tem algum telefone dele ?
218,Perfeito muito obrigado mesmo 
219,Segue: gabriel_av07@hotmail.com Qualquer coisa avise
220,Mestre se tive o contato pra falarmos fora de lá pois queríamos contratar a consultoria dele 
221,Vamos tentar por lá 
222,Tentou mandar direto lá pela Udemy?
223,Mestre por favor tem o contato dele pra me passar 
224,"Olá João! Atualmente não consigo ajudar, mas sugiro enviar uma mensagem para o Gabriel Alvez que é co-autor dos cursos"
225,"Olá Jones Granatyr, boa tarde.  Estamos fazendo um projeto de reconhecimento visual, utilizando os conhecimentos que adquirimos nos seus cursos da Udemy.  Entretanto, encontramos dificuldades em aumentar a acurácia do nosso classificador custom.  Nossa última versão ficou boa, mas ainda gera muitos falsos positivos.  Um dos maiores desafios é a alta similaridade entre os objetos que pretendemos classificar.  Em muitos experimentos, recebemos a famosa mensagem de erro de insuficient count of samples:  OpenCV Error: Bad argument (Can not get new positive sample. The most possible reason is insufficient count of samples in given vec-file.  Em todo caso acreditamos que alguém com mais experiência no assunto consiga nos orientar quanto aos próximos passos necessários para aumentar a acurácia.  Gostaríamos de saber se você trabalha ou indica alguém que possa nos dar uma consultoria no assunto.  Desde agradecemos a atenção."
226,Agradeço muito pela ajuda 😉
227,"Entrei em 2016 sim, mas acho que lecionava pras turmas posteriores."
228,"Olá Gilberto! Eu saí da Unisep na metade de 2017. Você entrou na turma de 2016 né? Sobre a vaga, em breve eu vou abrir no site uma seção específica para postar vagas de emprego, que tem algumas empresas que sempre entram em contato pedindo indicações. Na próxima vez, vou passar seu contato :)"
229,"Olá Jones, espero que esteja bem. Não cheguei a ter aula contigo na UNISEP porque se nao me engano, no ano que entrei voce saiu. Me formei ano passado em Sistemas de Informação e agora faço pós em IA. Estou procurando uma vaga nessa área e achei que pudesse me ajudar. Não tenho experiência profissional, mas pego o jeito rápido. Obrigado desde já!"
230,"Olá Danielle! Legal que está iniciando os cursos :) Pode ficar a vontade para enviar mensagem caso tenha alguma dúvida Essa semana vamos postar as ""trilhas"" no site, aí vai ficar bem fácil pra escolher a ordem dos cursos"
231,"Olá Jones, boa noite! Conheci o site  da IAexpert Academy recentemente e estou ansiosa para fazer os cursos, recebi boas referências. Se não se importar estou te enviando este convite para receber seus feeds, que certamente contem assuntos de meu interesse, estou iniciando em DS.  Até mais!!"
232,:)
233,"Valeu, Reginaldo"
234,"Olá Professor, muito obrigado por aceitar o convite de contato!👍"
235,"Olá Alexandre! Valeu pela sugestão! Vou colocar aqui na lista de conteúdos, realmente é um tópico muito bom"
236,"Ola Jones, boa noite. Eu trabalho no setor bancário e vejo que e muito difícil encontrar pesquisas sobre inteligência artificial neste setor. Voce pode ajudar montando um curso para aplicações de IA para banking?"
237,Opa! Respondi lá no comentário :)
238,"Jones, tem alguma vantagem assinar o seu site ou comprar na udemy? Eu preferi a udemy porque é vitalício."
239,"Oi Jones, bem vindo"
240,Brigadão
241,Que bom que gostou Pablo! Qualquer coisa avise :)
242,"Opa Jones blz ? Comprei seu curso muito bom, prazer em conhecê-lo "
