,Company,Latitude,Longitude,Pais,Cidade
394,ANPPD® - Associação Nacional dos Profissionais de Privacidade de Dados,-23.5250399,-46.6372982,BR,Sao Paulo
395,Market & Business,36.0036661,-95.884394,US,Bixby
396,UniTieup,13.0132057,80.2327111,IN,Gandhi Nagar
397,Loggi,39.262923,-74.645321,US,Ocean City
398,we distribuidora,-15.6518504,-56.1014462,BR,Varzea Grande
399,CIEE Centro de Integração Empresa Escola,43.6576434,-70.25097,US,Portland
400,Webdutos,-23.0221581,-45.5512874,BR,Taubate
401,Unimed Petrópolis,-22.5048853,-43.1716963,BR,Petropolis
402,Autônomo,41.975919,-87.712086,US,Lincolnwood
403,FAPESP,36.0014258,-78.9382286,US,Durham
404,Stone,37.06250000000001,-95.677068,US,Coffeyville
405,Université Paris 8,48.9447771,2.3629752,FR,Saint-Denis
406,ICA Gruppen,40.8947334,-73.9425538,US,Englewood Cliffs
407,Paladin AI,32.9417555,-96.82295769999999,US,Addison
408,Grupo Educacional UNIS,-21.573116,-45.47834839999999,BR,Varginha
409,Freelance,38.1422606,-94.8137407,US,Mound City
410,Stimmulus,34.0478539,-118.4395387,US,"Westwood, Los Angeles"
411,Huawei,37.3963241,-122.058367,US,Mountain View
412,Universidade do Estado de Minas Gerais,41.8077414,-72.2539805,US,Storrs
413,Informa Markets - Brazil,-23.5655871,-46.7029226,BR,Sao Paulo
414,Crypto ID® - Portal sobre Criptografia e Identificação Digital,-23.5479846,-46.65849859999999,BR,Sao Paulo
415,Supermercados Caetano,-22.9623184,-46.9893379,BR,Valinhos
416,Banco Itaú,25.7723394,-80.1877414,US,Miami
417,Loft,36.0633397,-95.88018079999999,US,Broken Arrow
418,UFES - Universidade Federal do Espírito Santo ,-20.2769549,-40.3046767,BR,Vitoria
419,Freelancer,43.647375,-79.39816379999999,CA,Toronto
420,,37.2256055,-95.7162018,US,Independence
421,Be2Consulting,47.808651,-122.385714,US,Edmonds
422,Safetec Informatica,42.933803,-78.821812,US,Eggertsville
423,Conductor,40.7463537,-73.9824982,US,Long Island City
424,Goldman Sachs,32.7876533,-96.7990344,US,Dallas
425,Self-employed,41.53999109999999,-88.09929179999999,US,Crest Hill
426,EBDI - Enterprise Business Development & Information,38.8308319,-77.2659506,US,Mantua
427,IEEE Student Branch - UNESP Guaratinguetá,-22.8030765,-45.1912525,BR,Guaratingueta
428,Trademaster Serviços e Participações SA,,,,
429,Itaú Unibanco,25.7723394,-80.1877414,US,Miami
430, CNseg - Confederação Nacional das Seguradoras,-22.9099955,-43.1773699,BR,Rio de Janeiro
431,Alpargatas S.A.,-22.4350337,-46.956561,BR,Mogi Mirim
432,Brasilprev Seguros e Previdência S.A,-21.1770738,-47.8095376,BR,Ribeirao Preto
433,CNPq - Conselho Nacional de Desenvolvimento Científico e Tecnológico,-15.8590676,-47.9270356,BR,Brasilia
434,Grão Direto,-19.7483754,-47.9411937,BR,Uberaba
435,Sitel,35.1844253,-97.3978989,US,Noble
436,Vizentec S/A,-16.750255,-49.322921,BR,Goiania
437,VA Empreendimentos,36.8591826,-75.9803817,US,Virginia Beach
438,Scania Latin America,-23.7127577,-46.5668296,BR,Sao Bernardo do Campo
439,TOTVS,37.4043887,-122.0770556,US,Mountain View
440,Senac MS,-20.4677978,-54.6212771,BR,Campo Grande
441,Mult Consultoria Estratégica,-5.7853824,-35.2062457,BR,Natal
442,LNCC,-22.529875,-43.2171745,BR,Petropolis
443,Parque Tecnológico Itaipu - Brasil ,-25.4362775,-54.5955769,PY,Ciudad del Este
444,Ipiranga Produtos de Petróleo,-18.9975096,-48.395757,BR,Uberlandia
445,PROSP8 ComunicAtiva,,,,
446,Votorantim,43.7100155,-79.35387349999999,CA,Toronto
447,TOTVS,37.4043887,-122.0770556,US,Mountain View
448,Siemens Energy,36.2225673,-95.27831080000001,US,Chouteau
449,Hospital Israelita Albert Einstein,-23.5999606,-46.7152547,BR,Taboao da Serra
450,Secretaria de Estado da Saúde de Alagoas,-9.6701467,-35.7278242,BR,Maceio
451,Hotmart,25.4967024,-103.4035908,MX,Torreon
452,Vinícola Toscana,43.595557,11.3860055,IT,Greve in Chianti
453,Machine Air,36.1316391,-79.76113520000001,US,Greensboro
454,Alstom Transport,46.035152,-73.1285602,CA,Sorel-Tracy
455,MJV Technology & Innovation,51.5009103,-0.1130874,GB,City of Westminster
456,Silimed Indústria de Implantes,-22.806303,-43.312304,BR,Duque de Caxias
457,RPSmart Sistemas,33.9638167,-84.11998349999999,US,Duluth
458,CABAL BRASIL,-15.7968316,-47.89044819999999,BR,Brasilia
459,UENF - Universidade Estadual do Norte Fluminense,-21.7620201,-41.2893524,BR,Campos
460,Raízen,29.7551426,-95.3632657,US,Houston
461,SVA Tech,40.8811393,-74.0447921,US,Hackensack
462,Inteligencia de Negocios,44.8304543,-93.50427400000001,US,Shakopee
463,B3,32.9991778,-96.90919939999999,US,Carrollton
464,UNINASSAU,-10.925598,-37.0727014,BR,Aracaju
465,TOTVS,37.4043887,-122.0770556,US,Mountain View
466,,37.2256055,-95.7162018,US,Independence
467,KOMUH,-19.938831,-43.930019,BR,Belo Horizonte
468,Siemens Gamesa,40.5831114,-91.426794,US,Nauvoo
469,Grupo Santa Casa BH,-19.9238136,-43.9252798,BR,Belo Horizonte
470,Procuradoria Geral da Fazenda Nacional,-15.7962737,-47.8697143,BR,Brasilia
471,Itaú Unibanco,25.7723394,-80.1877414,US,Miami
472,PagSeguro UOL,-12.9124399,-38.4747625,BR,Salvador
473,DataChemistry,39.1052926,-84.4297926,US,Fort Thomas
474,MAInd - Inteligência Artificial Aplicada,32.7719191,-117.188213,US,San Diego
475,Hypera,55.6696359,21.1752437,LT,Klaipeda
476,LSL - Logística Sumaré LTDA ,-22.7741536,-47.1895301,BR,Paulinia
477,Éstiam • École supérieure des technologies de l'information appliquées aux métiers,48.87558380000001,2.411106,FR,Les Lilas
